sample-id,cow,day,diet.in.period.1,diet,period,lactation.number,dim,extraction.batch,pcr.batch,dna.concentration.nanodrop,dna.concentration.naodrop.qubit,stolen.food,antibiotic.treatment,other,milk.per.milking1.kg,average.milk.per.milking.kg,daily.total.milk.yield.kg,butterfat.milking1.beforesample,butterfat.average.beforesample,protein.milking1.beforesample,protein.average.beforesample,lactose.milking1.beforesample,lactose.average.beforesample,SNF.milking1.beforesample,SNF.average.beforesample,SCCx1000.milking1.beforesample,SCCx1000.average.beforesample,MUN.milking1.beforesample,MUN.average.beforesample,butterfat.milking1.aftersample,butterfat.average.aftersample,protein.milking1.aftersample,protein.average.aftersample,lactose.milking1.aftersample,lactose.average.aftersample,SNF.milking1.aftersample,SNF.average.aftersample,SCCx1000.milking1.aftersample,SCCx1000.average.aftersaple,MUN.milking1.aftersample,MUN.average.aftersample,reads.per.sample.post.filtering,bin.reads.per.sample.post.filtering,low.DNA.yield.sample
#q2:types,categorical,categorical,categorical,categorical,categorical,numeric,numeric,categorical,categorical,numeric,numeric,categorical,categorical,categorical,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,categorical
4221-D1,4221,1,A,common,p_0,6,91,42,5,10.153,10.153,no,none,na,18.68799,14.000872,42.00262,4.34,4.34,3.04,2.933333333,5.14,5.136666667,9.21,9.113333333,961,814.6666667,9.9,11.03333333,3.19,3.983333333,2.9,2.923333333,4.62,4.743333333,8.51,8.68,287,377.3333333,5.7,8.366666667,3788,1000,cow
4221-D2,4221,2,A,common,p_0,6,92,11,2,28.969,28.969,no,none,na,16.87362,13.77407667,41.32223,4.34,4.34,3.04,2.933333333,5.14,5.136666667,9.21,9.113333333,961,814.6666667,9.9,11.03333333,3.19,3.983333333,2.9,2.923333333,4.62,4.743333333,8.51,8.68,287,377.3333333,5.7,8.366666667,727,100,cow
4221-D3,4221,3,A,A,p_1,6,130,23,3,34.218,34.218,no,none,na,18.0076,14.40910333,43.22732,3.81,3.79,3.2,3.33,4.85,4.83,8.97,9.126666667,867,871.6666667,6.5,7.1,3.79,3.76,3.36,3.41,4.69,4.686666667,9.01,9.073333333,2130,2057.666667,5.9,6.566666667,4284,1000,cow
4221-D4,4221,4,A,A,p_1,6,131,40,5,23.914,23.914,no,none,na,15.51285,13.00297333,39.00891,3.81,3.79,3.2,3.33,4.85,4.83,8.97,9.126666667,867,871.6666667,6.5,7.1,3.79,3.76,3.36,3.41,4.69,4.686666667,9.01,9.073333333,2130,2057.666667,5.9,6.566666667,1641,1000,cow
4221-D5,4221,5,A,B,p_2,6,200,17,2,55.584,12.2,no,none,na,13.47168,11.536355,34.60907,3.91,4.363333333,3.44,3.523333333,4.73,4.706666667,9.16,9.233333333,1310,1721.333333,6.2,6.666666667,3.85,4.056666667,3.38,3.393333333,4.68,4.673333333,9.1,9.096666667,2070,2399.333333,4.1,6.733333333,1516,1000,cow
4221-D6,4221,6,A,B,p_2,6,201,46,6,17.082,17.082,no,none,na,14.96854,12.24698667,36.74095,3.91,4.363333333,3.44,3.523333333,4.73,4.706666667,9.16,9.233333333,1310,1721.333333,6.2,6.666666667,3.85,4.056666667,3.38,3.393333333,4.68,4.673333333,9.1,9.096666667,2070,2399.333333,4.1,6.733333333,940,100,cow
4403-D1,4403,1,B,common,p_0,6,110,31,4,2.14,0.0538,no,none,leftstudy.endofperiod2,17.64473,14.03111333,42.09334,3.83,4.093333333,2.4,2.433333333,4.95,4.983333333,8.24,8.313333333,31,29.33333333,12,10.36666667,2.92,3.883333333,2.75,2.78,4.86,4.89,8.55,8.623333333,18,33.66666667,9.9,12.93333333,1292,1000,cow
4403-D2,4403,2,B,common,p_0,6,111,37,5,1.811,0.154,no,none,leftstudy.endofperiod2,16.69219,15.92108,47.62716,3.83,4.093333333,2.4,2.433333333,4.95,4.983333333,8.24,8.313333333,31,29.33333333,12,10.36666667,2.92,3.883333333,2.75,2.78,4.86,4.89,8.55,8.623333333,18,33.66666667,9.9,12.93333333,82,10,cow
4403-D2-B,4403,2,B,common,p_0,6,111,49,6,1.277,0.0474,no,none,leftstudy.endofperiod2,16.69219,15.92108,47.62716,3.83,4.093333333,2.4,2.433333333,4.95,4.983333333,8.24,8.313333333,31,29.33333333,12,10.36666667,2.92,3.883333333,2.75,2.78,4.86,4.89,8.55,8.623333333,18,33.66666667,9.9,12.93333333,16,10,potential.blank
